Date,Open,High,Low,Close,Adj Close,Volume
9/1/2009,26.01,29.57,22.190001,25.610001,25.610001,0
10/1/2009,25.98,31.59,20.1,30.690001,30.690001,0
11/1/2009,30.700001,31.84,20.049999,24.51,24.51,0
12/1/2009,24.51,24.51,19.25,21.68,21.68,0
1/1/2010,21.68,28.01,16.860001,24.620001,24.620001,0
2/1/2010,24.33,29.219999,19.32,19.5,19.5,0
3/1/2010,19.93,19.940001,16.17,17.59,17.59,0
4/1/2010,17.01,23.200001,15.23,22.049999,22.049999,0
5/1/2010,22.41,48.200001,19.610001,32.07,32.07,0
6/1/2010,34.869999,37.380001,22.870001,34.540001,34.540001,0
7/1/2010,34.41,37.580002,21.860001,23.5,23.5,0
8/1/2010,23.07,28.92,21.360001,26.049999,26.049999,0
9/1/2010,25.129999,25.129999,20.85,23.700001,23.700001,0
10/1/2010,22.9,24.34,17.9,21.200001,21.200001,0
11/1/2010,21.65,23.84,17.76,23.540001,23.540001,0
12/1/2010,21.190001,21.43,15.4,17.75,17.75,0
1/1/2011,17.940001,20.08,15.37,19.530001,19.530001,0
2/1/2011,18.59,23.219999,14.86,18.35,18.35,0
3/1/2011,17.629999,31.280001,17.07,17.74,17.74,0
4/1/2011,16.68,19.07,14.27,14.75,14.75,0
5/1/2011,15.07,20.030001,15.07,15.45,15.45,0
6/1/2011,15.95,24.65,15.88,16.52,16.52,0
7/1/2011,16.059999,25.940001,15.12,25.25,25.25,0
8/1/2011,22.629999,48,22.459999,31.620001,31.620001,0
9/1/2011,31.91,43.869999,30.43,42.959999,42.959999,0
10/1/2011,44.25,46.880001,24.440001,29.959999,29.959999,0
11/1/2011,36.029999,37.529999,27.030001,27.799999,27.799999,0
12/1/2011,27.629999,30.91,20.34,23.4,23.4,0
1/1/2012,22.950001,23.73,16.799999,19.440001,19.440001,0
2/1/2012,18.68,21.98,16.1,18.43,18.43,0
3/1/2012,18.02,21.24,13.66,15.5,15.5,0
4/1/2012,16.35,21.059999,15.02,17.15,17.15,0
5/1/2012,17.27,25.459999,16.01,24.059999,24.059999,0
6/1/2012,25.870001,27.73,16.77,17.08,17.08,0
7/1/2012,17.620001,21,15.45,18.93,18.93,0
8/1/2012,18.799999,19.25,13.3,17.469999,17.469999,0
9/1/2012,18.65,18.959999,13.51,15.73,15.73,0
10/1/2012,16.030001,19.65,13.67,18.6,18.6,0
11/1/2012,17.77,19.4,14.77,15.87,15.87,0
12/1/2012,15.81,23.23,15.41,18.02,18.02,0
1/1/2013,15.24,15.93,12.29,14.28,14.28,0
2/1/2013,13.37,19.280001,12.08,15.51,15.51,0
3/1/2013,16.1,16.82,11.05,12.7,12.7,0
4/1/2013,13.46,18.200001,11.99,13.52,13.52,0
5/1/2013,13.88,16.35,12.26,16.299999,16.299999,0
6/1/2013,16.4,21.91,14.96,16.860001,16.860001,0
7/1/2013,16.9,17.32,12.07,13.45,13.45,0
8/1/2013,12.89,17.809999,11.83,17.01,17.01,0
9/1/2013,16.469999,17.49,12.52,16.6,16.6,0
10/1/2013,16.309999,21.34,12.34,13.75,13.75,0
11/1/2013,13.46,14.14,11.99,13.7,13.7,0
12/1/2013,13.91,16.75,11.69,13.72,13.72,0
1/1/2014,14.32,18.99,11.81,18.41,18.41,0
2/1/2014,18.57,21.48,13.44,14,14,0
3/1/2014,16.469999,18.219999,13.46,13.88,13.88,0
4/1/2014,13.43,17.85,12.6,13.41,13.41,0
5/1/2014,13.64,14.49,11.32,11.4,11.4,0
6/1/2014,11.69,12.89,10.34,11.57,11.57,0
7/1/2014,11.28,17.110001,10.28,16.950001,16.950001,0
8/1/2014,16.67,17.57,11.24,12.09,12.09,0
9/1/2014,12.32,17.08,11.52,16.309999,16.309999,0
10/1/2014,16.440001,31.059999,13.72,14.03,14.03,0
11/1/2014,14.41,15.93,11.91,13.33,13.33,0
12/1/2014,14.16,25.200001,11.53,19.200001,19.200001,0
1/1/2015,17.76,23.43,15.52,20.969999,20.969999,0
2/1/2015,20.889999,22.809999,12.86,13.34,13.34,0
3/1/2015,13.9,17.190001,12.54,15.29,15.29,0
4/1/2015,15.32,16.66,12.12,14.55,14.55,0
5/1/2015,13.98,16.360001,11.82,13.84,13.84,0
6/1/2015,13.92,19.799999,11.93,18.23,18.23,0
7/1/2015,16.629999,20.049999,11.71,12.12,12.12,0
8/1/2015,12.85,53.290001,10.88,28.43,28.43,0
9/1/2015,31.91,33.82,17.870001,24.5,24.5,0
10/1/2015,23.139999,25.23,12.8,15.07,15.07,0
11/1/2015,15.41,20.67,13.67,16.129999,16.129999,0
12/1/2015,15.61,26.809999,14.45,18.209999,18.209999,0
1/1/2016,22.48,32.09,19.25,20.200001,20.200001,0
2/1/2016,21.32,30.9,18.379999,20.549999,20.549999,0
3/1/2016,19.84,20.17,13.06,13.95,13.95,0
4/1/2016,15.23,17.09,12.5,15.7,15.7,0
5/1/2016,16.33,17.65,13.04,14.19,14.19,0
6/1/2016,14.45,26.719999,12.72,15.63,15.63,0
7/1/2016,15.59,17.040001,11.4,11.87,11.87,0
8/1/2016,11.89,14.93,11.02,13.42,13.42,0
9/1/2016,13.07,20.51,11.65,13.29,13.29,0
10/1/2016,13.75,17.950001,12.21,17.059999,17.059999,0
11/1/2016,16.540001,23.01,12.16,13.33,13.33,0
12/1/2016,13.4,14.72,10.93,14.04,14.04,0
